threshold,layer_0_keep,layer_1_keep,layer_2_keep,layer_3_keep,layer_4_keep,layer_5_keep,layer_6_keep,layer_7_keep,layer_8_keep,layer_9_keep,layer_10_keep,layer_11_keep
0.05,0,0 4,0,0 2,0,0,0,0,0,0,0,0
0.10,0,0 1 2,0,0 1,0,0,0,0,0,0,0,0
0.15,0,0 1 2 3,0,0 1,0,0,0,0,0,0,0,0
0.20,0,0 1 2 3,0 2,0 1 2 8,0 3 7,0,0,0,0,0,0,0
0.25,0,0 1 2 3,0 2,0 1 2 8,0 3 4,0,0,0,0,0,0,0
0.30,0,0 1 2 3,0 2,0 1 2 3 8,0 1 3 7,0,0,0,0,0,0,0
0.35,0 2,0 1 2 3,0 2,0 1 2 3 8,0 1 2 3 7,0,0,0,0,0,0,0
0.40,0 2,0 1 2 3 10,0 2,0 1 2 3 8,0 1 2 3 7,0,0,0,0,0,0,0
0.45,0 1 2,0 1 2 3 10,0 2,0 1 2 3 8,0 1 2 3 6 7,0,0,0 4,0,0,0,0
0.50,0 1 2,0 1 2 3 10,0 2,0 1 2 3 8,0 1 2 3 4 6 7,0,0,0 4,0,0,0,0
0.55,0 1 2,0 1 2 3 4,0 2,0 1 2 3 8,0 1 2 3 4 6 7,0,0 1 5,0 4,0,0,0,0
0.60,0 1 2,0 1 2 3 4,0 2,0 1 2 3 8,0 1 2 3 4 6 7,0 3,0 1 5,0 3 4 6,0,0,0,0
0.65,0 1 2,0 1 2 3 4 5 11,0 2 8,0 1 2 3 8,0 1 2 3 4 6 7,0 3 4 5,0 1 5,0 3 4 6,0,0,0,0
0.70,0 1 2 7 8 9,0 1 2 3 4 5 10 11,0 2 8,0 1 2 3 8,0 1 2 3 4 6 7 10,0 3 4 5 10,0 1 5,0 3 4 6 10,0 2 4 7 9,0 1,0,0
0.75,0 1 2 3 8 9 10,0 1 2 3 4 5 10 11,0 2 8 9,0 1 2 3 5 6 8,0 1 2 3 4 6 7 8,0 2 3 4 5 10,0 1 5,0 2 3 4 6 9,0 1 2 4 7 9,0 1 4 7,0,0 6
0.80,0 1 2 3 7 8 9 10 11,0 1 2 3 4 5 10 11,0 2 7 8 9,0 1 2 3 5 6 7 8,0 1 2 3 4 6 7 8,0 2 3 4 5 6 7 9 10,0 1 4 5,0 1 2 3 4 6 9 11,0 1 2 3 4 7 8 9,0 1 3,0,0 3 6
0.85,0 1 2 3 5 6 7 8 9 11,0 1 2 3 4 5 8 10 11,0 2 4 7 8 9 10,0 1 2 3 4 5 6 7 8 11,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 10 11,0 1 3 4 5 6 7,0 1 2 3 4 6 7 9 10 11,0 1 2 3 4 5 7 8 9,0 1 2 4 5 7 9 10,0 3 7 10 11,0 2 5 6
0.90,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10,0 1 2 3 4 5 6 7 8 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 11,0 1 2 3 4 5 6 7 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 9 10 11,0 1 3 5 6
0.95,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 5 6 7 8 9 10 11
